Iteration,Latency_ms
0,0.441
1,0.447
2,0.434
3,0.44
4,0.459
5,0.434
6,0.448
7,0.448
8,0.452
9,0.444
10,0.435
11,0.435
12,0.431
13,0.457
14,0.431
15,0.441
16,0.455
17,0.432
18,0.457
19,0.436
20,0.451
21,0.454
22,0.432
23,0.433
24,0.452
25,0.452
26,0.451
27,0.456
28,0.438
29,0.435
30,0.447
31,0.436
32,0.441
33,0.448
34,0.439
35,0.452
36,0.447
37,0.449
38,0.455
39,0.454
40,0.453
41,0.451
42,0.432
43,0.433
44,0.433
45,0.444
46,0.451
47,0.431
48,0.453
49,0.458
50,0.447
51,0.444
52,0.452
53,0.457
54,0.457
55,0.449
56,0.453
57,0.451
58,0.449
59,0.458
60,0.446
61,0.435
62,0.45
63,0.442
64,0.448
65,0.446
66,0.44
67,0.432
68,0.434
69,0.458
70,0.456
71,0.445
72,0.45
73,0.439
74,0.44
75,0.45
76,0.436
77,0.451
78,0.433
79,0.438
80,0.439
81,0.453
82,0.454
83,0.434
84,0.436
85,0.45
86,0.446
87,0.456
88,0.441
89,0.458
90,0.454
91,0.439
92,0.456
93,0.443
94,0.447
95,0.458
96,0.438
97,0.442
98,0.439
99,0.441
100,0.433
101,0.435
102,0.449
103,0.448
104,0.454
105,0.43
106,0.457
107,0.456
108,0.453
109,0.436
110,0.441
111,0.435
112,0.444
113,0.452
114,0.43
115,0.439
116,0.447
117,0.433
118,0.457
119,0.442
120,0.446
121,0.43
122,0.441
123,0.436
124,0.435
125,0.447
126,0.445
127,0.434
128,0.441
129,0.452
130,0.45
131,0.44
132,0.451
133,0.434
134,0.446
135,0.44
136,0.457
137,0.441
138,0.437
139,0.457
140,0.437
141,0.447
142,0.433
143,0.433
144,0.435
145,0.459
146,0.449
147,0.438
148,0.441
149,0.448
150,0.432
151,0.446
152,0.456
153,0.44
154,0.433
155,0.438
156,0.43
157,0.441
158,0.442
159,0.435
160,0.44
161,0.459
162,0.454
163,0.447
164,0.438
165,0.433
166,0.455
167,0.451
168,0.432
169,0.45
170,0.431
171,0.456
172,0.444
173,0.44
174,0.436
175,0.451
176,0.448
177,0.439
178,0.448
179,0.434
180,0.431
181,0.454
182,0.453
183,0.449
184,0.448
185,0.438
186,0.43
187,0.438
188,0.437
189,0.447
190,0.438
191,0.443
192,0.448
193,0.443
194,0.447
195,0.451
196,0.43
197,0.447
198,0.443
199,0.434
200,0.459
201,0.456
202,0.435
203,0.451
204,0.45
205,0.459
206,0.449
207,0.456
208,0.458
209,0.433
210,0.444
211,0.458
212,0.454
213,0.459
214,0.449
215,0.432
216,0.445
217,0.455
218,0.433
219,0.433
220,0.443
221,0.457
222,0.434
223,0.453
224,0.438
225,0.43
226,0.448
227,0.448
228,0.43
229,0.456
230,0.438
231,0.441
232,0.459
233,0.438
234,0.449
235,0.437
236,0.442
237,0.442
238,0.458
239,0.452
240,0.438
241,0.459
242,0.44
243,0.447
244,0.438
245,0.441
246,0.445
247,0.458
248,0.446
249,0.451
250,0.432
251,0.454
252,0.432
253,0.445
254,0.448
255,0.456
256,0.452
257,0.456
258,0.435
259,0.453
260,0.449
261,0.442
262,0.454
263,0.436
264,0.441
265,0.448
266,0.432
267,0.451
268,0.431
269,0.459
270,0.447
271,0.436
272,0.452
273,0.459
274,0.435
275,0.432
276,0.45
277,0.45
278,0.433
279,0.449
280,0.441
281,0.448
282,0.451
283,0.439
284,0.445
285,0.443
286,0.452
287,0.455
288,0.432
289,0.455
290,0.458
291,0.446
292,0.457
293,0.457
294,0.452
295,0.432
296,0.459
297,0.454
298,0.441
299,0.459
300,0.456
301,0.439
302,0.458
303,0.442
304,0.435
305,0.455
306,0.444
307,0.449
308,0.431
309,0.432
310,0.455
311,0.43
312,0.458
313,0.433
314,0.459
315,0.433
316,0.449
317,0.446
318,0.437
319,0.449
320,0.449
321,0.437
322,0.436
323,0.449
324,0.443
325,0.435
326,0.457
327,0.446
328,0.456
329,0.455
330,0.438
331,0.452
332,0.435
333,0.454
334,0.454
335,0.431
336,0.456
337,0.431
338,0.456
339,0.453
340,0.453
341,0.455
342,0.445
343,0.443
344,0.442
345,0.438
346,0.432
347,0.435
348,0.453
349,0.436
350,0.431
351,0.458
352,0.436
353,0.452
354,0.431
355,0.434
356,0.436
357,0.432
358,0.449
359,0.431
360,0.445
